company_adddress,add_full,add_off
8531PA | 3,INDUSTRIEWEG 3,0
8397LJ | 1,ENGELSESTEEG 1,0
8938AG | 49,ORIONWEG 49,0
8734GW | 11,SKILPLEIN 11,0
8521JL | 3,LEMMERWEG 3,0
9206AS | 31,DE GIEK 31,0
8465SJ | 12,HASKER UTGONGEN 12,0
8394VM | 34,JOKWEG 34,0
1351AM | 139,DE STEIGER 139,0
8442LE | 58,BURGEMEESTER FALKENAWEG 58 202,0
8734HV | 9,FABRYKSWEI 9,0
8701XD | 14,SNEKERSTRAAT 14 A,0
8835KX | 2,WIEUWENS 2,0
9261VX | 12,ACHTERWEG 12,0
9204CM | 125,DOLLARD 125 A,0
9041CB | 69,BITGUMERDYK 69,0
8919AG | 228,MR PJ TROELSTRAWEG 228,0
8801PN | 14,EDISONSTRAAT 14,0
8861KN | 9,KONINGSWEG 9,0
8606JR | 4,PIETER ZEEMANSTRAAT 4,0
8715EP | 34,KOOIJWEG 34,0
8715HR | 12,NOORD 12,0
8501MK | 30,GEERT KNOLWEG 30,0
2035RC | 32,BOERHAAVELAAN 32,0
8801PN | 13,EDISONSTRAAT 13,0
2131AE | 1,STARNMEERSTRAAT 1,0
8447SL | 59,BUSINESSPARK FRIESLANDW 59,0
9289KX | 3,SKIEPPEDRIFTE 3,0
9251TG | 112,TUORREBOUT 112,0
1082MS | 17,GUSTAV MAHLERPLEIN 17,0
8501VZ | 23,GROENHOF 23,0
9951BA | 11,STATIONSWEG 11,0
8421SE | 45,HET HOOGE 45,0
9051EJ | 12,WYTHUSTERWEI 12,0
9021CL | 8,DOARPSSTRJITTE 8,0
8855CZ | 2,BOARGEMASTER DUKERSTRAAT 2,0
9101GA | 9,DONGERADYK 9 4,0
8445PD | 12,TINWEG 12,0
8426AM | 141,VAART ZZ 141,0
8601AM | 88,SINGEL 88,0
8608AA | 45,LEMMERWEG 45,0
8861XH | 23,HAVENWEG 23 A,0
2291AA | 5,OOSTEINDE 5,0
8433KW | 63,LEEKSTERWEG 63 B,0
4311CV | 2,MAISSTRAAT 2,0
9076AB | 67,STADHOUDERSWEG 67,0
8441EN | 911,K R POSTSTRAAT 911,0
8459BL | 167,AENGWIRDERWEG 167,0
9451TA | 57,ASSERSTRAAT 57,0
9255KH | 10,WOELWIJK 10,0
9074CK | 24,MOUNEBUORREN 24,0
8531HJ | 7,VUURTORENWEG 7,0
9291HB | 59,JOHANNES BOGERMANSTRAAT 59,0
9291MC | 14,WILLEM LOREWEG 14,0
8915BW | 50,CORELLISTRAAT 50,0
8508RL | 28,TJONGERPAD 28,0
9212VC | 18,SKEANEWEI 18,0
9003LA | 6,MIDSBUORREN 6,0
9005PC | 3,FRICOWEG 3,0
8932NB | 57,SCHRANS 57,0
8491PA | 2,SPIKERBOOR 2,0
8938BG | 38,CERESWEG 38,0
8621CZ | 3,DE DRAEI 3,0
2242NM | 104,OOSTDORPERWEG 104,0
8939BG | 32,HET WIJD 32,0
1906CG | 78,HOGEWEG 78,0
8448JB | 10,ABE LENSTRA BOULEVARD 10,0
8754EV | 17,VOORSTRAAT 17,0
8447GL | 2,IT DOK 2,0
8861NE | 15,CELCIUSSTRAAT 15,0
9281NP | 99,NIJEWEI 99,0
8861NW | 58,LANGE LIJNBAAN 58,0
8447SL | 7,BUSINESSPARK FRIESLANDW 7,0
8525GG | 8,PONTDYK 8 C,0
8442CT | 12,NIEUWBUREN 12,0
8913HR | 55,HARLINGERTREKWEG 55,3333
9204LM | 20,JELLE PLANTINGSTRAAT 20,0
1018EJ | 53,AMSTEL 53 G,0
9076PH | 20,HEMMEMAWEG 20,0
9101MN | 50,DE DIJK 50,0
8556AN | 11,RUURD ALTASTRJITTE 11,0
9051MT | 10,JUCKEMALEANE 10,0
1906BM | 162,RIJKSWEG 162 B,0
3818ED | 135,UTRECHTSEWEG 135,0
8754GK | 19,SUDERSEEWEI 19,0
8606JC | 2,OUDE OPPENHUIZERWEG 2,0
9262NR | 12,ACHTERWEI 12,0
1624NP | 26,MAELSONSTRAAT 26,0
