company_adddress,city
1062JN | 175,AMSTERDAM
9968TC | 2,PIETERBUREN
9501LL | 3,STADSKANAAL
9711BS | 14,GRONINGEN
9909AD | 34,SPIJK GN
9934CK | 10,DELFZIJL
7825AM | 80,EMMEN
7751GN | 8,DALEN
9747AV | 1,GRONINGEN
8461LC | 2,ROTTUM FR
9645KX | 96,VEENDAM
2665MR | 224,BLEISWIJK
7943PE | 136,MEPPEL
7812AD | 53,EMMEN
9738AD | 99,GRONINGEN
9712AC | 4,GRONINGEN
2685DC | 231,POELDIJK
9601EA | 31,HOOGEZAND
8861SR | 26,HARLINGEN
9742LJ | 3,GRONINGEN
9403DE | 12,ASSEN
9502KJ | 1,STADSKANAAL
9675HJ | 67,WINSCHOTEN
9712LK | 69,GRONINGEN
9402NR | 1,ASSEN
9521AT | 34,NIEUWBUINEN
7905SW | 2107,HOOGEVEEN
8915AA | 1,LEEUWARDEN
9936BJ | 35,FARMSUM
9461AA | 1,GIETEN
1411DD | 5,NAARDEN
9472TD | 37,ZUIDLAREN
9934PV | 1,DELFZIJL
9718CV | 20,GRONINGEN
8914BD | 11,LEEUWARDEN
7981LA | 6,DIEVER
9403DV | 6,ASSEN
9502EX | 31,STADSKANAAL
9056LK | 3,KOARNJUM
9414TN | 2,HOOGHALEN
9401JZ | 17,ASSEN
9721VZ | 380,GRONINGEN
9271KH | 34,DE WESTEREEN
8861SV | 61,HARLINGEN
3011ED | 49,ROTTERDAM
7957BA | 1,DE WIJK
7958RM | 55,KOEKANGE
8501XG | 1,JOURE
9541TA | 39,VLAGTWEDDE
3066GS | 105,ROTTERDAM
9088AH | 8,WIRDUM FR
9475TE | 13,MIDLAREN
9411TV | 50,BEILEN
7751DN | 20,DALEN
9933HG | 18,DELFZIJL
3833AC | 5,LEUSDEN
1811CP | 168,ALKMAAR
9601GW | 1,HOOGEZAND
8453WG | 69,ORANJEWOUD
9728BM | 812,GRONINGEN
9697NA | 15,BLIJHAM
9037JW | 9,SLAPPETERP
7887TP | 23,ERICA
5691CM | 8,SON EN BREUGEL
9934AR | 5,DELFZIJL
9088BH | 2,WIRDUM FR
9645BM | 87,VEENDAM
9341AA | 1,VEENHUIZEN
1704RW | 32,HEERHUGOWAARD
9205ES | 114,DRACHTEN
7903AV | 8,HOOGEVEEN
9101JG | 5,DOKKUM
9047KM | 1,MINNERTSGA
9934GD | 4,DELFZIJL
3016DE | 1,ROTTERDAM
7873DB | 12,ODOORN
9743AD | 215,GRONINGEN
9751ND | 3,HAREN GN
8917JC | 245,LEEUWARDEN
9728JR | 100,GRONINGEN
9435TC | 19,BRUNTINGE
9679BJ | 1,SCHEEMDA
9403VX | 48,ASSEN
9713GX | 1,GRONINGEN
7887GB | 69,ERICA
1314CH | 4,ALMERE
9354BV | 29,ZEVENHUIZEN GN
9801HJ | 5,ZUIDHORN
9723AZ | 82,GRONINGEN
9717CB | 4,GRONINGEN
8932PJ | 7,LEEUWARDEN
8938AT | 9,LEEUWARDEN
9403AD | 55,ASSEN
